state,live_births,birth_rate,income_mean,income_median,expenditure_mean,gini,poverty,year,rate_2000,rate_change,income_group
Johor,56156,13.7,8517,6879,5342,0.36646,4.6,2022,24.3,-10.6,High (>8k)
Kedah,33811,15.4,5550,4402,3765,0.35938,9.0,2022,24.5,-9.1,Middle (5.5–8k)
Kelantan,35705,19.2,4885,3614,3505,0.3854,13.2,2022,29.7,-10.5,Low (<5.5k)
Melaka,13583,13.2,8057,6210,5707,0.36963,4.2,2022,23.7,-10.5,High (>8k)
Negeri Sembilan,16570,13.5,6788,5226,4678,0.36853,4.4,2022,22.2,-8.7,Middle (5.5–8k)
Pahang,24162,14.7,5777,4753,4107,0.3077,6.3,2022,22.8,-8.1,Middle (5.5–8k)
Perak,30759,12.1,5779,4494,3903,0.36769,7.5,2022,23.2,-11.1,Middle (5.5–8k)
Perlis,3878,13.2,5664,4713,3834,0.33589,4.0,2022,22.4,-9.2,Middle (5.5–8k)
Pulau Pinang,19579,11.0,8267,6502,5322,0.37058,2.0,2022,20.5,-9.5,High (>8k)
Sabah,46412,12.9,6171,4577,3342,0.39491,19.7,2022,18.9,-6.0,Middle (5.5–8k)
Sarawak,33920,13.6,6457,4978,3915,0.3818,10.8,2022,23.1,-9.5,Middle (5.5–8k)
Selangor,90535,12.6,12233,9983,6770,0.36123,1.5,2022,21.9,-9.3,High (>8k)
Terengganu,26127,21.6,7248,5878,4796,0.32631,6.2,2022,27.5,-5.9,Middle (5.5–8k)
W.P. Kuala Lumpur,21442,10.7,13325,10234,7823,0.3796,1.4,2022,20.8,-10.1,High (>8k)
W.P. Labuan,1409,14.2,8250,6904,4176,0.30028,2.5,2022,19.7,-5.5,High (>8k)
W.P. Putrajaya,1713,14.4,13473,10056,8897,0.3678,0.1,2022,,,High (>8k)
